TITLE,LOCATION,PRICE,LAND AREA,BUILDUP AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,PARKING,AMENITIES
 House for Sale,"Imadol, Lalitpur",Rs. 4.99 Cr ,5.2 aana,,13 Feet,North-East,3,6,5,2079 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Balcony', 'Drinking Water', 'Parking', 'Terrace', 'Power Backup', 'Internet', 'Closet', 'MiCrowave']"
 House for Sale,"Kharibot, Kathmandu",Rs. 2.45 Cr ,3.0 aana,,16 Feet,South,2.5,4,2,2070 B.S,2 Bikes,"['Marbel', 'Earthquake Resistant', 'Parquet', 'Drainage', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room']"
Bungalow House for Sale,"Bafal, Kathmandu",Rs. 2.5 Cr ,4.0 aana,,13 Feet,South-East,4,4,5,2078 B.S,3 Bikes,"['Marbel', 'Earthquake Resistant', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Modular Kitchen', 'Bed Room', 'Dining Room', 'Pantry']"
4 BHK House for Sale,"Khumaltar, Lalitpur",Rs. 4.25 Cr ,4.0 aana,,20 Feet,South-East,2.5,4,4,2078 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Terrace', 'Parking', 'Balcony', 'Drinking Water', 'Fridge', 'Sofa', 'AirCon', 'TV']"
Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 6.5 Cr ,6.2 aana,,12 Feet,South-East,2.5,4,5,2077 B.S,3 CaRs.,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Terrace', 'Parking', 'Drinking Water', 'Balcony', 'Bed Room', 'Closet', 'Internet', 'AirCon']"
4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 3.6 Cr ,4.2 aana,,13 Feet,South-West,2.5,4,5,2077 B.S,1 CaRs.  & 2 Bikes,"['Parquet', 'Marbel', 'Earthquake Resistant', 'Balcony', 'Terrace', 'Parking', 'Drinking Water', 'Modular Kitchen', 'MiCrowave', 'Closet', 'Bed Room']"
 House for Sale,"Khumaltar, Lalitpur",Rs. 5.8 Cr ,5.0 aana,3600 Sq. Ft.,14 Feet,North-West,3.5,6,6,2078 B.S,1 CaRs.  & 1 Bikes,"['Marbel', 'Earthquake Resistant', 'Parquet', 'Drinking Water', 'Parking', 'Bathtub', 'Balcony', 'Terrace', 'Sofa', 'AirCon', 'Washing Machine']"
Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 2.5 Cr ,3.2 aana,,12 Feet,South-East,3.5,5,7,2078 B.S,3 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Terrace', 'Marbel', 'Parquet', 'Drainage', 'CC Camera', 'Parking', 'Power Backup', 'Drinking Water', 'Balcony', 'Fridge']"
4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 4.8 Cr ,5.2 aana,,16 Feet,South-East,3,4,4,2077 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Balcony', 'Drinking Water', 'Parking', 'Terrace', 'Bed Room', 'Dining Room', 'Pantry', 'Master Bedroom']"
4 BHK House for Sale,"Tahachal, Kathmandu",Rs. 6.65 Cr ,4.1 aana,,20 Feet,North,3,4,5,2077 B.S,2 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Balcony', 'Parquet', 'Parking', 'Terrace', 'Sofa', 'Fridge', 'Iron', 'Closet']"
Bungalow House for Sale,"Dhapasi, Kathmandu",Rs. 13.3 Cr ,9.6 aana,,14 Feet,North-East,2.5,5,5,2077 B.S,2 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Garden', 'Power Backup', 'Drainage', 'Basement', 'Bathtub', 'Balcony', 'Drinking Water']"
Villa House for Sale,"Thecho, Lalitpur",Rs. 8.5 Cr ,7.0 aana,,12 Feet,East,3.5,5,7,2078 B.S,3 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Parquet', 'Marbel', 'Parking', 'Balcony', 'Terrace', 'MiCrowave', 'Power Backup', 'Iron', 'Sofa']"
Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 5.5 Cr ,5.0 aana,,12 Feet,North-East,2.5,4,5,2078 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Modular Kitchen', 'MiCrowave', 'Dining Room', 'Guest Room', 'Modular Kitchen', 'Bed Room']"
 House for Sale,"Bhaisepati, Lalitpur",Rs. 4.75 Cr ,3.1 aana,,20 Feet,South,2.5,4,4,2075 B.S,1 CaRs.  & 1 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drainage', 'Power Backup', 'Drinking Water', 'Balcony', 'Terrace', 'Fridge', 'Sofa']"
 House for Sale,"Imadol, Lalitpur",Rs. 2.95 Cr ,3.2 aana,,13 Feet,South,3,5,4,2075 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Drinking Water', 'Modular Kitchen', 'MiCrowave', 'Dining Room', 'Bed Room', 'Bathroom']"
 House for Sale,"Sanepa, Lalitpur",Rs. 6.35 Cr ,5.0 aana,,10 Feet,North-West,2.5,5,3,2078 B.S,,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Terrace', 'Parking', 'Modular Kitchen', 'MiCrowave', 'Bed Room', 'Dining Room', 'Guest Room']"
Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 8.5 Cr ,7.0 aana,,13 Feet,West,2.5,5,6,2075 B.S,3 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Balcony', 'Parquet', 'Parking', 'Terrace', 'Modular Kitchen', 'Dining Room', 'Guest Room', 'Modular Kitchen']"
Bungalow House for Sale,"Maharajgunj, Kathmandu",Rs. 10.5 Cr ,11.0 aana,,12 Feet,South,2.5,4,4,2078 B.S,,"['Earthquake Resistant', 'Drinking Water', 'Balcony', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Garden', 'Power Backup', 'Terrace', 'Fridge']"
4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 6.4 Cr ,7.0 aana,,26 Feet,East,2.5,4,4,2075 B.S,3 CaRs.,"['Earthquake Resistant', 'Parquet', 'Marbel', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']"
3 BHK House for Sale,"Sunakothi, Lalitpur",Rs. 3.5 Cr ,4.0 aana,,20 Feet,North,2.5,3,4,2080 B.S,,"['Earthquake Resistant', 'Marbel', 'Drinking Water', 'Balcony', 'Parquet', 'Parking', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room', 'Store Room']"
 House for Sale,"Kapan, Kathmandu",Rs. 2.2 Cr ,3.0 aana,,16 Feet,South,2.5,6,5,2078 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room']"
4 BHK House for Sale,"Dhobighat, Lalitpur",Rs. 3.75 Cr ,3.0 aana,,16 Feet,South,2.5,4,4,2078 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Drinking Water', 'Fridge', 'Sofa', 'MiCrowave', 'Modular Kitchen', 'Closet']"
 House for Sale,"Hattiban, Lalitpur",Rs. 8 Cr ,6.0 aana,,20 Feet,South,2,5,4,2078 B.S,3 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Balcony', 'Modular Kitchen', 'Fridge', 'Sofa', 'MiCrowave']"
Bungalow House for Sale,"Satdobato, Lalitpur",Rs. 5.5 Cr ,4.2 aana,,13 Feet,South-East,3.5,6,7,2077 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom']"
Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 5.5 Cr ,3.3 aana,2060 Sq. Ft.,13 Feet,South-West,2.5,4,4,2075 B.S,1 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Terrace', 'Balcony', 'Sofa', 'Iron', 'Modular Kitchen', 'Closet']"
 House for Sale,"Sanepa, Lalitpur",Rs. 7.75 Cr ,9.0 aana,2500 Sq. Ft.,20 Feet,South-West,2.5,5,5,2078 B.S,,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Balcony', 'Parking', 'Sofa', 'Iron', 'MiCrowave', 'Modular Kitchen', 'Closet', 'Bathroom']"
 House for Sale,"Budhanilkantha, Kathmandu",Rs. 16 Cr ,12 aana,3500 Sq. Ft.,13 Feet,North,2.5,7,7,2074 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Garden', 'Balcony', 'Terrace', 'Fridge', 'Sofa']"
 House for Sale,"Imadol, Lalitpur",Rs. 3.19 Cr ,4.1 aana,,13 Feet,South,2.5,5,3,2078 B.S,,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room']"
4 BHK House for Sale,"Sitapaila, Kathmandu",Rs. 2.5 Cr ,3.0 aana,,13 Feet,West,2.5,4,3,2074 B.S,2 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Reserve Tank', 'Power Backup', 'Dining Room']"
 House for Sale,"Pokhara, Kaski",Rs. 12 Cr ,11.0 aana,,20 Feet,West,2.5,4,4,2080 B.S,2 Bikes,"['Earthquake Resistant', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']"
Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 6.25 Cr ,6.4 aana,2870 Sq. Ft.,13 Feet,North-West,2.5,5,6,2078 B.S,2 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Terrace', 'Drainage', 'Parking', 'Fridge', 'Sofa', 'Water Purifier', 'MiCrowave', 'Power Backup']"
Bungalow House for Sale,"Budhanilkantha, Kathmandu",Rs. 16 Cr ,12.0 aana,,12 Feet,North,2.5,7,7,2078 B.S,1 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Balcony', 'Drinking Water', 'Modular Kitchen', 'Closet', 'Internet', 'Water Purifier', 'Power Backup']"
4 BHK House for Sale,"Hattiban, Lalitpur",Rs. 2.8 Cr ,2.2 aana,,12 Feet,North,2.5,4,4,2078 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom']"
Bungalow House for Sale,"Imadol, Lalitpur",Rs. 5.99 Cr ,7.0 aana,,20 Feet,East,2.5,,5,2078 B.S,1 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Fridge', 'Sofa', 'TV', 'MiCrowave']"
 House for Sale,"Bhaisepati, Lalitpur",Rs. 4.8 Cr ,5.0 aana,,25 Feet,South,2.5,6,4,2078 B.S,2 CaRs.  & 2 Bikes,"['Parquet', 'Marbel', 'Earthquake Resistant', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom']"
 House for Sale,"Imadol, Lalitpur",Rs. 2.5 Cr ,3.1 aana,,13 Feet,North,3,5,3,2076 B.S,1 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Sofa', 'Water Purifier', 'Power Backup', 'Modular Kitchen']"
4 BHK House for Rent,"Sanepa, Lalitpur",Rs. 3.35 Cr ,5.0 aana,,19 Feet,West,2.5,4,2,2076 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Balcony', 'Terrace', 'Parking', 'Sofa', 'Fridge', 'MiCrowave', 'Iron']"
4 BHK House for Rent,"Sanepa, Lalitpur",Rs. 3.50 Cr,5.0 aana,,19 Feet,North-West,2.5,4,3,2075 B.S,1 CaRs.  & 2 Bikes,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Drinking Water', 'Terrace', 'Parking', 'Fridge', 'Sofa', 'MiCrowave', 'Iron', 'Power Backup']"
4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 4 Cr ,4.0 aana,,18 Feet,North-East,2.5,4,5,2076 B.S,1 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Terrace', 'Balcony', 'Fridge', 'Sofa']"
Bungalow House for Sale,"Nakhipot, Lalitpur",Rs. 6 Cr ,7.0 aana,,13 Feet,East,2.5,5,3,2076 B.S,2 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Power Backup', 'Parking', 'Drinking Water', 'Terrace', 'Balcony', 'Sofa', 'Water Purifier', 'MiCrowave']"
4 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.5 Cr ,3.5 aana,,12 Feet,West,2.5,4,4,2071 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Modular Kitchen', 'Iron', 'MiCrowave', 'Closet', 'Sofa']"
 House for Sale,"Imadol, Lalitpur",Rs. 2.7 Cr ,3.3 aana,,12 Feet,East,2,5,4,2078 B.S,3 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Balcony', 'Drainage', 'MiCrowave', 'Power Backup', 'Iron']"
Bungalow House for Sale,"Gwarko, Lalitpur",Rs. 2.75 Cr ,3.0 aana,,12 Feet,North,2.5,5,4,2074 B.S,1 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Terrace', 'Closet', 'Modular Kitchen', 'Bed Room', 'Dining Room', 'Guest Room']"
 House for Sale,"Budhanilkantha, Kathmandu",Rs. 11 Cr ,11.0 aana,,16 Feet,South-East,2.5,5,5,2077 B.S,4 CaRs.  & 4 Bikes,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Terrace', 'Balcony', 'Sofa', 'Power Backup']"
 House for Sale,"Hattiban, Lalitpur",Rs. 3.25 Cr ,3.3 aana,,15 Feet,North-East,2.5,6,4,2077 B.S,1 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Terrace', 'Balcony', 'Drinking Water', 'Sofa', 'MiCrowave', 'Power Backup']"
 House for Sale,"Hattiban, Lalitpur",Rs. 2.8 Cr ,3.1 aana,-1 Sq. Ft.,13 Feet,South-West,2,5,4,2078 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Closet', 'Modular Kitchen', 'MiCrowave']"
 House for Sale,"Imadol, Lalitpur",Rs. 3.1 Cr ,3.2 aana,,12 Feet,West,3,6,4,2078 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Power Backup', 'Modular Kitchen']"
4 BHK House for Sale,"Baneshwor, Kathmandu",Rs. 4 Cr,5.0 aana,,13 Feet,South,2.5,4,4,2077 B.S,,"['Earthquake Resistant', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room']"
House for Sale,"Tokha, Kathmandu",Rs. 3.5 Cr ,6 aana,,15 Feet,North,2.5,3,3,2075 B.S,3 Bikes,"['Bed Room', 'Dining Room', 'Living Room', 'Bathroom', 'Fire Place', 'Terrace', 'Reserve Tank', 'Balcony', 'Drinking Water', 'Drainage', 'Parquet']"
 House for Sale,"Imadol, Lalitpur",Rs. 3.15 Cr ,5.2 aana,,20 Feet,East,2,6,5,2078 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drinking Water', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room', 'Store Room', 'Prayer Room']"
 House for Sale,"Ochu Height, Lalitpur",Rs. 2.9 Cr ,3.2 aana,2700 Sq. Ft.,13 Feet,South,2.5,6,6,2077 B.S,1 CaRs.  & 2 Bikes,"['Drainage', 'Parking', 'Earthquake Resistant', 'Marbel', 'Parquet', 'Drinking Water', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room']"
 House for Sale,"Imadol, Lalitpur",Rs. 4.25 Cr ,4.2 aana,,20 Feet,East,3,5,4,2078 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parking', 'Drinking Water', 'Modular Kitchen', 'Internet', 'Dining Room', 'Bed Room', 'Bathroom', 'Store Room', 'Prayer Room']"
4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 4.65 Cr ,4.0 aana,,12 Feet,South-East,2,4,4,2074 B.S,2 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Drainage', 'Drinking Water', 'Parking', 'Parquet', 'Modular Kitchen', 'Power Backup', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room']"
Luxurious Villa  for Sale,"Bhaisepati, Lalitpur",Rs. 4 Cr,4.0 aana,,20 Feet,North,2.5,5,4,2080 B.S,2 CaRs.  & 1 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom', 'Modular Kitchen']"
Bungalow House for Sale,"Sanepa, Lalitpur",Rs. 5.95 Cr ,5.0 aana,2299 Sq. Ft.,16 Feet,North-East,3,6,5,2078 B.S,2 CaRs.  & 1 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Terrace', 'Balcony', 'Drinking Water', 'Sofa', 'Modular Kitchen', 'Dining Room', 'Bed Room']"
4 BHK House for Sale,"Nakkhu, Lalitpur",Rs. 3.9 Cr ,5.0 aana,,13 Feet,East,2.5,4,4,2078 B.S,2 CaRs.,"['Earthquake Resistant', 'Marbel', 'Parking', 'Drinking Water', 'Terrace', 'Modular Kitchen', 'Dining Room', 'Bed Room', 'Bathroom', 'Prayer Room', 'Master Bedroom']"
 House for Sale,"Setipakha, Lalitpur",Rs. 3.2 Cr ,4.0 aana,0 Sq. Ft.,13 Feet,East,3,8,3,2078 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Garden', 'Parking', 'Balcony', 'Reserve Tank', 'Water Well', 'Terrace', 'Basement', 'Sofa', 'Water Purifier']"
 House for Sale,"Setipakha, Lalitpur",Rs. 3.25 Cr ,4.0 aana,0 Sq. Ft.,13 Feet,East,3,8,3,2077 B.S,1 CaRs.  & 2 Bikes,"['Marbel', 'Earthquake Resistant', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Water Well', 'Sofa', 'Modular Kitchen']"
4 BHK House for Sale,"Sunakothi, Lalitpur",Rs. 5.15 Cr ,7.1 aana,,20 Feet,South,2.5,4,4,2074 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Garden', 'Parking', 'Reserve Tank', 'Drinking Water', 'Terrace', 'Power Backup', 'Dining Room']"
 House for Sale,"Kalanki, Kathmandu",Rs. 3.5 Cr ,4.0 aana,,10 Feet,South,3.5,8,6,2075 B.S,1 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room', 'Bathroom']"
Bungalow House for Sale,"Imadol, Lalitpur",Rs. 3.25 Cr ,4.3 aana,2600 Sq. Ft.,20 Feet,East,2.5,4,4,2078 B.S,1 CaRs.  & 3 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Garden', 'Parking', 'Drinking Water', 'Water Well', 'Terrace', 'Reserve Tank']"
 House for Sale,"Bhangal , Kathmandu",Rs. 3.2 Cr ,3.1 aana,,13 Feet,North,2.5,5,6,2074 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']"
 House for Sale,"Sukedhara, Kathmandu",Rs. 5.5 Cr ,5.2 aana,,13 Feet,South,2.5,5,3,2075 B.S,,"['Reserve Tank', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Bed Room', 'Dining Room', 'Bathroom']"
House for Sale,"Setipakha, Lalitpur",Rs. 2.3 Cr ,2.3 aana,0 Sq. Ft.,13 Feet,East,2.5,5,3,2074 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Garden', 'Parking', 'Water Well', 'Terrace', 'Balcony', 'Drinking Water', 'Sofa', 'Modular Kitchen', 'Dining Room']"
 House for Sale,"Chandragiri, Kathmandu",Rs. 1.7 Cr ,3.3 aana,,20 Feet,East,2,3,3,2078 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Drainage', 'Power Backup', 'Dining Room', 'Bed Room']"
 House for Sale,"Imadol, Lalitpur",Rs. 2.4 Cr ,2.3 aana,,13 Feet,South,3.5,5,4,2077 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']"
4 BHK House for Sale,"Tikathali, Lalitpur",Rs. 2.75 Cr ,4.0 aana,,13 Feet,South,2.5,4,4,2074 B.S,2 Bikes,"['Marbel', 'Earthquake Resistant', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']"
 House for Sale,"Tikathali, Lalitpur",Rs. 2.25 Cr ,3.2 aana,,13 Feet,South,2.5,4,3,2074 B.S,2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']"
4 BHK House for Sale,"Lubhu, Lalitpur",Rs. 1.8 Cr ,4.2 aana,,13 Feet,East,2.5,4,4,2078 B.S,2 Bikes,"['Earthquake Resistant', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Drainage', 'Dining Room', 'Bed Room']"
3 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.5 Cr ,3.2 aana,,14 Feet,South,2.5,3,3,2077 B.S,1 CaRs.  & 2 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Dining Room']"
